hospital_id,review_text,star_rating
H001,いつも丁寧に対応してくださり、安心して愛犬を任せられます。先生の説明も分かりやすく、看護師さんたちも優しいです。,5
H001,院内がとても清潔で、待ち時間も少なくスムーズでした。これからもお世話になりたいと思います。,5
H001,夜間に緊急で見ていただきました。迅速かつ的確な処置のおかげで、ペットの命が助かりました。本当に感謝しかありません。,5
H001,難しい病気でしたが、先生が親身に相談に乗ってくださり、最善の治療法を提案してくれました。素晴らしい病院です。,5
H001,トリミングも併設されており、健康診断と一緒にお願いできるのが便利。仕上がりもいつも可愛くしてもらっています。,5
H001,ワクチン接種で伺いました。手際が良く、うちの子が怖がる暇もなかったです。料金も良心的でした。,5
H001,最新の設備が整っているように感じました。他の病院では分からなかった原因を突き止めてもらえました。,5
H001,予約システムがしっかりしていて、待ち時間がほとんどないのが嬉しいです。スタッフの皆さんの連携も取れている印象。,5
H002,飼い主の不安な気持ちに寄り添ってくれる先生です。些細な質問にも丁寧に答えてくださるので、信頼しています。,5
H002,ペットホテルを利用しました。滞在中の様子をこまめに連絡してくださり、安心して預けることができました。,5
H002,料金説明が明確で、事前に見積もりを出してくれるので安心です。治療の選択肢もいくつか提示してくれました。,4
H002,概ね満足していますが、もう少し駐車場が広いと助かります。土日は混雑することが多いです。,4
H002,先生はとても良い方ですが、受付の方の対応が少し事務的に感じることがあります。,4
H002,良い病院だと思います。ただ、人気があるためか予約が少し取りづらいのが難点です。,4
H002,治療方針は的確だと思います。ペットへの接し方も優しく、好感が持てます。,4
H002,院内は綺麗で過ごしやすいです。もう少し診療時間が長いと、仕事帰りにも寄りやすくて嬉しいです。,4
H002,セカンドオピニオンで伺いましたが、前の病院の意見も尊重しつつ、的確なアドバイスをいただけました。,4
H002,専門的な治療にも対応しているようで、頼りになります。普段のケアについても相談に乗ってくれました。,4
H002,猫専用の待合室があり、怖がりのうちの子にはありがたい配慮でした。,4
H002,アプリで予約や問診ができるのが便利です。待ち時間の短縮につながっていると思います。,4
H002,可もなく不可もなく、といった感じです。一般的な診察であれば問題ないと思います。,3
H002,先生によって説明の丁寧さに少し差があるように感じました。指名できれば良いのですが。,3
H002,待ち時間が日によってかなり違います。空いている時はすぐですが、長い時は1時間以上待つことも。,3
H002,診察自体は普通ですが、もう少し愛想良く対応していただけると嬉しいです。,3
H002,治療費が思ったより高額でした。内訳の説明はありましたが、事前に概算を教えてほしかったです。,3
H002,院内は少し狭いですが、清掃は行き届いているようです。設備は少し古いかもしれません。,3
H003,薬の処方だけで済むような時でも、診察までが長いことがあります。もう少し柔軟に対応してほしい。,3
H003,日曜もやっているのは助かりますが、その分混雑は覚悟した方が良いです。,3
H003,診察は丁寧でしたが、こちらの話を急かすような感じが少し気になりました。,3
H003,立地は良いのですが、駐車場がないのが不便です。近くのコインパーキングを利用するしかありません。,3
H003,受付の人の私語が気になりました。忙しいのは分かりますが、少し残念です。,2
H003,説明が専門用語ばかりで分かりにくかったです。こちらが理解しているか確認してほしかった。,2
H003,待ち時間が長すぎます。予約した意味があまりないように感じてしまいました。,2
H003,検査をいくつか勧められましたが、なぜそれが必要なのか十分な説明がなかったように思います。,2
H003,先生が少し威圧的に感じました。ペットも怖がってしまって可哀想でした。,2
H003,診察が少し雑に感じました。流れ作業のようで、あまり親身になってもらえている感じがしませんでした。,2
H003,予約の電話をしましたが、対応がとても不愛想で不安になりました。,2
H003,治療方針に疑問があり質問しましたが、あまり納得のいく答えは得られませんでした。,2
H003,毎回違う先生に当たるので、症状の引き継ぎがちゃんとされているのか少し心配になります。,2
H003,清掃があまり行き届いていないのか、待合室の匂いが気になりました。,2
H004,誤診されました。別の病院に行ってすぐに正しい病名が分かり、事なきを得ましたが、もう行きません。,1
H004,明らかに過剰な検査と高額な請求をされました。飼い主の足元を見ているとしか思えません。,1
H004,予約時間から2時間近く待たされた挙句、診察は5分で終わり。説明もほとんどありませんでした。,1
H004,ペットの扱いが乱暴で見ていられませんでした。動物への愛情が感じられず、深く失望しました。,1
H004,受付の対応が最悪です。こちらの話を聞こうともせず、終始イライラした態度でした。,1
H004,簡単な処置のはずが、悪化してしまいました。責任逃れのような説明をされ、誠意を感じませんでした。,1
H004,電話で問い合わせた際の対応と、実際に請求された金額が全く違いました。不信感しかありません。,1
H004,院長のワンマン経営なのか、スタッフの方々が萎縮しているように見えました。病院の雰囲気がとても悪いです。,1
H004,質問に対して「ネットで調べれば」と言われました。専門家としてあまりに無責任な態度だと思います。,1
H004,利益優先なのが透けて見えます。ペットや飼い主のためというより、病院の都合で治療を進められました。,1